ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|5000000000|제주특별자치도|제주특별자치도||A|20060701|4900000000|26110
A|5011000000|제주특별자치도 제주시|제주시||A|20060701|4911000000|26110
A|5011025000|제주특별자치도 제주시 한림읍|한림읍||A|20060701|4971025000|26110
A|5011025300|제주특별자치도 제주시 애월읍|애월읍||A|20060701|4971025300|26110
A|5011025600|제주특별자치도 제주시 구좌읍|구좌읍||A|20060701|4911025600|26110
A|5011025900|제주특별자치도 제주시 조천읍|조천읍||A|20060701|4911025900|26110
A|5011031000|제주특별자치도 제주시 한경면|한경면||A|20060701|4911031000|26110
A|5011032000|제주특별자치도 제주시 추자면|추자면||A|20060701|4911032000|26110
A|5011033000|제주특별자치도 제주시 우도면|우도면||A|20060701|4911033000|26110
A|5011051000|제주특별자치도 제주시 일도1동|일도1동||A|20060701|4911051000|26110
A|5011052000|제주특별자치도 제주시 일도2동|일도2동||A|20060701|4911052000|26110
A|5011053000|제주특별자치도 제주시 이도1동|이도1동||A|20060701|4911053000|26110
A|5011054000|제주특별자치도 제주시 이도2동|이도2동||A|20060701|4911054000|26110
A|5011055000|제주특별자치도 제주시 삼도1동|삼도1동||A|20060701|4911055000|26110
A|5011056000|제주특별자치도 제주시 삼도2동|삼도2동||A|20060701|4911056000|26110
A|5011057000|제주특별자치도 제주시 용담1동|용담1동||A|20060701|4911057000|26110
A|5011058000|제주특별자치도 제주시 용담2동|용담2동||A|20060701|4911058000|26110
A|5011059000|제주특별자치도 제주시 건입동|건입동||A|20060701|4911059000|26110
A|5011060000|제주특별자치도 제주시 화북동|화북동||A|20060701|4911060000|26110
A|5011061000|제주특별자치도 제주시 삼양동|삼양동||A|20060701|4911061000|26110
A|5011062000|제주특별자치도 제주시 봉개동|봉개동||A|20060701|4911062000|26110
A|5011063000|제주특별자치도 제주시 아라동|아라동||A|20060701|4911063000|26110
A|5011064000|제주특별자치도 제주시 오라동|오라동||A|20060701|4911064000|26110
A|5011065000|제주특별자치도 제주시 연동|연동||A|20060701|4911065000|26110
A|5011066000|제주특별자치도 제주시 노형동|노형동||A|20060701|4911066000|26110
A|5011067000|제주특별자치도 제주시 외도동|외도동||A|20060701|4911067000|26110
A|5011068000|제주특별자치도 제주시 이호동|이호동||A|20060701|4911068000|26110
A|5011069000|제주특별자치도 제주시 도두동|도두동||A|20060701|4911069000|26110
A|5013000000|제주특별자치도 서귀포시|서귀포시||A|20060701|4913000000|26110
A|5013025000|제주특별자치도 서귀포시 대정읍|대정읍||A|20060701|4972025000|26110
A|5013025300|제주특별자치도 서귀포시 남원읍|남원읍||A|20060701|4972025300|26110
A|5013025900|제주특별자치도 서귀포시 성산읍|성산읍||A|20060701|4972025900|26110
A|5013031000|제주특별자치도 서귀포시 안덕면|안덕면||A|20060701|4972031000|26110
A|5013032000|제주특별자치도 서귀포시 표선면|표선면||A|20060701|4972032000|26110
A|5013051000|제주특별자치도 서귀포시 송산동|송산동||A|20060701|4913051000|26110
A|5013052000|제주특별자치도 서귀포시 정방동|정방동||A|20060701|4913052000|26110
A|5013053000|제주특별자치도 서귀포시 중앙동|중앙동||A|20060701|4913053000|26110
A|5013054000|제주특별자치도 서귀포시 천지동|천지동||A|20060701|4913054000|26110
A|5013055000|제주특별자치도 서귀포시 효돈동|효돈동||A|20060701|4913055000|26110
A|5013056000|제주특별자치도 서귀포시 영천동|영천동||A|20060701|4913056000|26110
A|5013057000|제주특별자치도 서귀포시 동홍동|동홍동||A|20060701|4913057000|26110
A|5013058000|제주특별자치도 서귀포시 서홍동|서홍동||A|20060701|4913058000|26110
A|5013059000|제주특별자치도 서귀포시 대륜동|대륜동||A|20060701|4913059000|26110
A|5013060000|제주특별자치도 서귀포시 대천동|대천동||A|20060701|4913060000|26110
A|5013061000|제주특별자치도 서귀포시 중문동|중문동||A|20060701|4913061000|26110
A|5013062000|제주특별자치도 서귀포시 예래동|예래동||A|20060701|4913062000|26110
L|5000000000|제주특별자치도|제주특별자치도||L|20060701|4900000000|26110
L|5011000000|제주특별자치도 제주시|제주시||L|20060701|4911000000|26110
L|5011010100|제주특별자치도 제주시 일도일동|일도일동||L|20060701|4911010100|26110
L|5011010200|제주특별자치도 제주시 일도이동|일도이동||L|20060701|4911010200|26110
L|5011010300|제주특별자치도 제주시 이도일동|이도일동||L|20060701|4911010300|26110
L|5011010400|제주특별자치도 제주시 이도이동|이도이동||L|20060701|4911010400|26110
L|5011010500|제주특별자치도 제주시 삼도일동|삼도일동||L|20060701|4911010500|26110
L|5011010600|제주특별자치도 제주시 삼도이동|삼도이동||L|20060701|4911010600|26110
L|5011010700|제주특별자치도 제주시 건입동|건입동||L|20060701|4911010700|26110
L|5011010800|제주특별자치도 제주시 용담일동|용담일동||L|20060701|4911010800|26110
