ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
L|5200000000|전북특별자치도|전북특별자치도||L|20240118|4500000000|26110
L|5211000000|전북특별자치도 전주시|전주시||L|20240118|4511000000|26110
L|5211100000|전북특별자치도 전주시 완산구|전주시 완산구||L|20240118|4511100000|26110
L|5211110100|전북특별자치도 전주시 완산구 중앙동1가|중앙동1가||L|20240118|4511110100|26110
L|5211110200|전북특별자치도 전주시 완산구 중앙동2가|중앙동2가||L|20240118|4511110200|26110
L|5211110300|전북특별자치도 전주시 완산구 중앙동3가|중앙동3가||L|20240118|4511110300|26110
L|5211110400|전북특별자치도 전주시 완산구 중앙동4가|중앙동4가||L|20240118|4511110400|26110
L|5211110500|전북특별자치도 전주시 완산구 경원동1가|경원동1가||L|20240118|4511110500|26110
L|5211110600|전북특별자치도 전주시 완산구 경원동2가|경원동2가||L|20240118|4511110600|26110
L|5211110700|전북특별자치도 전주시 완산구 경원동3가|경원동3가||L|20240118|4511110700|26110
L|5211110800|전북특별자치도 전주시 완산구 풍남동1가|풍남동1가||L|20240118|4511110800|26110
L|5211110900|전북특별자치도 전주시 완산구 풍남동2가|풍남동2가||L|20240118|4511110900|26110
L|5211111000|전북특별자치도 전주시 완산구 풍남동3가|풍남동3가||L|20240118|4511111000|26110
L|5211111100|전북특별자치도 전주시 완산구 전동|전동||L|20240118|4511111100|26110
L|5211111200|전북특별자치도 전주시 완산구 전동3가|전동3가||L|20240118|4511111200|26110
L|5211111300|전북특별자치도 전주시 완산구 다가동1가|다가동1가||L|20240118|4511111300|26110
L|5211111400|전북특별자치도 전주시 완산구 다가동2가|다가동2가||L|20240118|4511111400|26110
L|5211111500|전북특별자치도 전주시 완산구 다가동3가|다가동3가||L|20240118|4511111500|26110
L|5211111600|전북특별자치도 전주시 완산구 다가동4가|다가동4가||L|20240118|4511111600|26110
L|5211111700|전북특별자치도 전주시 완산구 고사동|고사동||L|20240118|4511111700|26110
L|5211111800|전북특별자치도 전주시 완산구 교동|교동||L|20240118|4511111800|26110
L|5211111900|전북특별자치도 전주시 완산구 태평동|태평동||L|20240118|4511111900|26110
L|5211112000|전북특별자치도 전주시 완산구 중노송동|중노송동||L|20240118|4511112000|26110
