ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|2600000000|부산광역시|부산광역시|||19950101||26110
A|2611000000|부산광역시 중구|중구|||19950101||26110
A|2611051000|부산광역시 중구 중앙동|중앙동|||19950101||26110
A|2611052000|부산광역시 중구 동광동|동광동|||19950101||26110
A|2611053000|부산광역시 중구 대청동|대청동|||19950101||26110
A|2611054500|부산광역시 중구 보수동|보수동|||19990101||26110
A|2611056000|부산광역시 중구 부평동|부평동|||19950101||26110
A|2611057000|부산광역시 중구 광복동|광복동|||19950101||26110
A|2611058000|부산광역시 중구 남포동|남포동|||19950101||26110
A|2611059000|부산광역시 중구 영주제1동|영주제1동|||19950101||26110
A|2611060000|부산광역시 중구 영주제2동|영주제2동|||19950101||26110
A|2614000000|부산광역시 서구|서구|||19950101||26110
A|2614051000|부산광역시 서구 동대신제1동|동대신제1동|||19950101||26110
A|2614052000|부산광역시 서구 동대신제2동|동대신제2동|||19950101||26110
A|2614053000|부산광역시 서구 동대신제3동|동대신제3동|||19950101||26110
A|2614054000|부산광역시 서구 서대신제1동|서대신제1동|||19950101||26110
A|2614056000|부산광역시 서구 서대신제3동|서대신제3동|||19950101||26110
A|2614057000|부산광역시 서구 서대신제4동|서대신제4동|||19950101||26110
A|2614059000|부산광역시 서구 부민동|부민동|||19981001||26110
A|2614061500|부산광역시 서구 아미동|아미동|||19981001||26110
A|2614063000|부산광역시 서구 초장동|초장동|||19950101||26110
A|2614064000|부산광역시 서구 충무동|충무동|||19981001||26110
A|2614065000|부산광역시 서구 남부민제1동|남부민제1동|||19950101||26110
A|2614066000|부산광역시 서구 남부민제2동|남부민제2동|||19950101||26110
A|2614068000|부산광역시 서구 암남동|암남동|||19950101||26110
A|2617000000|부산광역시 동구|동구|||19950101||26110
A|2617051000|부산광역시 동구 초량제1동|초량제1동|||19950101||26110
A|2617052000|부산광역시 동구 초량제2동|초량제2동|||19950101||26110
A|2617053000|부산광역시 동구 초량제3동|초량제3동|||19950101||26110
A|2617055000|부산광역시 동구 초량제6동|초량제6동|||19950101||26110
A|2617056000|부산광역시 동구 수정제1동|수정제1동|||19950101||26110
A|2617057000|부산광역시 동구 수정제2동|수정제2동|||19950101||26110
A|2617059000|부산광역시 동구 수정제4동|수정제4동|||19950101||26110
A|2617060000|부산광역시 동구 수정제5동|수정제5동|||19950101||26110
A|2617061000|부산광역시 동구 좌천제1동|좌천제1동|||19950101||26110
A|2617064000|부산광역시 동구 좌천제4동|좌천제4동|||19950101||26110
A|2617065000|부산광역시 동구 범일제1동|범일제1동|||19950101||26110
A|2617066000|부산광역시 동구 범일제2동|범일제2동|||19950101||26110
A|2617067000|부산광역시 동구 범일제4동|범일제4동|||19950101||26110
A|2617068000|부산광역시 동구 범일제5동|범일제5동|||19980917||26110
A|2620000000|부산광역시 영도구|영도구|||19950101||26110
A|2620053000|부산광역시 영도구 남항동|남항동|||19981001||26110
