ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|3100000000|울산광역시|울산광역시|||19970715||26110
A|3111000000|울산광역시 중구|중구|||19970715||26110
A|3111051000|울산광역시 중구 학성동|학성동|||19970715||26110
A|3111052000|울산광역시 중구 반구1동|반구1동|||19970715||26110
A|3111053000|울산광역시 중구 반구2동|반구2동|||19970715||26110
A|3111054000|울산광역시 중구 복산1동|복산1동|||19970715||26110
A|3111055000|울산광역시 중구 복산2동|복산2동|||19970715||26110
A|3111056000|울산광역시 중구 북정동|북정동|||19970715||26110
A|3111058500|울산광역시 중구 중앙동|중앙동|||20090101||26110
A|3111059000|울산광역시 중구 우정동|우정동|||19970715||26110
A|3111060000|울산광역시 중구 태화동|태화동|||19970715||26110
A|3111061000|울산광역시 중구 다운동|다운동|||19970715||26110
A|3111062000|울산광역시 중구 병영1동|병영1동|||19970715||26110
A|3111063000|울산광역시 중구 병영2동|병영2동|||19970715||26110
A|3111064000|울산광역시 중구 약사동|약사동|||19970715||26110
A|3111065000|울산광역시 중구 성안동|성안동|||20140901||26110
A|3114000000|울산광역시 남구|남구|||19970715||26110
A|3114051000|울산광역시 남구 신정1동|신정1동|||19970715||26110
A|3114052000|울산광역시 남구 신정2동|신정2동|||19970715||26110
A|3114053000|울산광역시 남구 신정3동|신정3동|||19970715||26110
A|3114054000|울산광역시 남구 신정4동|신정4동|||19970715||26110
A|3114055000|울산광역시 남구 신정5동|신정5동|||19970715||26110
A|3114056000|울산광역시 남구 달동|달동|||19970715||26110
A|3114057000|울산광역시 남구 삼산동|삼산동|||19970715||26110
A|3114058500|울산광역시 남구 삼호동|삼호동|||20070226||26110
A|3114059500|울산광역시 남구 무거동|무거동|||20070226||26110
A|3114060000|울산광역시 남구 옥동|옥동|||19970715||26110
A|3114062500|울산광역시 남구 대현동|대현동|||20070226||26110
A|3114063500|울산광역시 남구 수암동|수암동|||20070226||26110
A|3114064000|울산광역시 남구 선암동|선암동|||19981017||26110
A|3114067000|울산광역시 남구 야음장생포동|야음장생포동|||20070226||26110
A|3117000000|울산광역시 동구|동구|||19970715||26110
A|3117051000|울산광역시 동구 방어동|방어동|||19970715||26110
A|3117052000|울산광역시 동구 일산동|일산동|||19970715||26110
A|3117053000|울산광역시 동구 화정동|화정동|||19970715||26110
A|3117054000|울산광역시 동구 대송동|대송동|||19970715||26110
A|3117055000|울산광역시 동구 전하1동|전하1동|||19970715||26110
A|3117056000|울산광역시 동구 전하2동|전하2동|||19970715||26110
A|3117058000|울산광역시 동구 남목1동|남목1동|||19970715||26110
A|3117059000|울산광역시 동구 남목2동|남목2동|||19970715||26110
A|3117060000|울산광역시 동구 남목3동|남목3동|||19981001||26110
A|3120000000|울산광역시 북구|북구|||19970715||26110
A|3120051000|울산광역시 북구 농소1동|농소1동|||19970715||26110
A|3120052000|울산광역시 북구 농소2동|농소2동|||19970715||26110
A|3120053000|울산광역시 북구 농소3동|농소3동|||19970715||26110
A|3120054000|울산광역시 북구 강동동|강동동|||19970715||26110
A|3120056000|울산광역시 북구 효문동|효문동|||19981001||26110
A|3120057000|울산광역시 북구 송정동|송정동|||19970715||26110
A|3120058000|울산광역시 북구 양정동|양정동|||19970715||26110
A|3120059000|울산광역시 북구 염포동|염포동|||19980301||26110
A|3171000000|울산광역시 울주군|울주군|||19970715||26110
A|3171025000|울산광역시 울주군 온산읍|온산읍|||19970715||26110
A|3171025300|울산광역시 울주군 언양읍|언양읍|||19970715||26110
