ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|1100000000|서울특별시|서울특별시|||19880423||26110
A|1111000000|서울특별시 종로구|종로구|||19880423||26110
A|1111051500|서울특별시 종로구 청운효자동|청운효자동|||20081101||26110
A|1111053000|서울특별시 종로구 사직동|사직동|||19880423||26110
A|1111054000|서울특별시 종로구 삼청동|삼청동|||19880423||26110
A|1111055000|서울특별시 종로구 부암동|부암동|||19880423||26110
A|1111056000|서울특별시 종로구 평창동|평창동|||19880423||26110
A|1111057000|서울특별시 종로구 무악동|무악동|||19880423||26110
A|1111058000|서울특별시 종로구 교남동|교남동|||19880423||26110
A|1111060000|서울특별시 종로구 가회동|가회동|||19880423||26110
A|1111061500|서울특별시 종로구 종로1.2.3.4가동|종로1.2.3.4가동|||19981201||26110
A|1111063000|서울특별시 종로구 종로5.6가동|종로5.6가동|||19880423||26110
A|1111064000|서울특별시 종로구 이화동|이화동|||19880423||26110
A|1111065000|서울특별시 종로구 혜화동|혜화동|||19880423||26110
A|1111067000|서울특별시 종로구 창신제1동|창신제1동|||19880423||26110
A|1111068000|서울특별시 종로구 창신제2동|창신제2동|||19880423||26110
A|1111069000|서울특별시 종로구 창신제3동|창신제3동|||19880423||26110
A|1111070000|서울특별시 종로구 숭인제1동|숭인제1동|||19880423||26110
A|1111071000|서울특별시 종로구 숭인제2동|숭인제2동|||19880423||26110
A|1114000000|서울특별시 중구|중구|||19880423||26110
A|1114052000|서울특별시 중구 소공동|소공동|||19880423||26110
A|1114054000|서울특별시 중구 회현동|회현동|||19980914||26110
A|1114055000|서울특별시 중구 명동|명동|||19980914||26110
A|1114057000|서울특별시 중구 필동|필동|||19880423||26110
A|1114058000|서울특별시 중구 장충동|장충동|||19880423||26110
A|1114059000|서울특별시 중구 광희동|광희동|||19980914||26110
A|1114060500|서울특별시 중구 을지로동|을지로동||A|20050315|1114060000|26110
A|1114061500|서울특별시 중구 신당동|신당동|||20130720||26110
A|1114062500|서울특별시 중구 다산동|다산동|||20130720||26110
A|1114063500|서울특별시 중구 약수동|약수동|||20130720||26110
A|1114064500|서울특별시 중구 청구동|청구동|||20130720||26110
A|1114065000|서울특별시 중구 신당제5동|신당제5동|||19880423||26110
A|1114066500|서울특별시 중구 동화동|동화동|||20130720||26110
A|1114067000|서울특별시 중구 황학동|황학동|||19880423||26110
A|1114068000|서울특별시 중구 중림동|중림동|||19880423||26110
A|1117000000|서울특별시 용산구|용산구|||19880423||26110
A|1117051000|서울특별시 용산구 후암동|후암동|||19880423||26110
A|1117052000|서울특별시 용산구 용산2가동|용산2가동|||19880423||26110
A|1117053000|서울특별시 용산구 남영동|남영동|||19880423||26110
A|1117055500|서울특별시 용산구 청파동|청파동|||20080630||26110
A|1117056000|서울특별시 용산구 원효로제1동|원효로제1동|||19880423||26110
A|1117057000|서울특별시 용산구 원효로제2동|원효로제2동|||19880423||26110
A|1117058000|서울특별시 용산구 효창동|효창동|||19880423||26110
A|1117059000|서울특별시 용산구 용문동|용문동|||19880423||26110
A|1117062500|서울특별시 용산구 한강로동|한강로동|||20080630||26110
A|1117063000|서울특별시 용산구 이촌제1동|이촌제1동|||19880423||26110
