ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|3611000000|세종특별자치시|세종특별자치시|||20120701||26110
A|3611025000|세종특별자치시  조치원읍|조치원읍|||20120701||26110
A|3611031000|세종특별자치시  연기면|연기면|||20120701||26110
A|3611032000|세종특별자치시  연동면|연동면|||20120701||26110
A|3611033000|세종특별자치시  부강면|부강면|||20120701||26110
A|3611034000|세종특별자치시  금남면|금남면|||20120701||26110
A|3611035000|세종특별자치시  장군면|장군면|||20120701||26110
A|3611036000|세종특별자치시  연서면|연서면|||20120701||26110
A|3611037000|세종특별자치시  전의면|전의면|||20120701||26110
A|3611038000|세종특별자치시  전동면|전동면|||20120701||26110
A|3611039000|세종특별자치시  소정면|소정면|||20120701||26110
A|3611051000|세종특별자치시  한솔동|한솔동|||20120701||26110
A|3611052000|세종특별자치시  도담동|도담동|||20140210||26110
A|3611053000|세종특별자치시  아름동|아름동|||20150126||26110
L|3611000000|세종특별자치시|세종특별자치시||L|20120701|4473000000|26110
L|3611010100|세종특별자치시  반곡동|반곡동||L|20120701|4473034030|26110
L|3611010200|세종특별자치시  소담동|소담동||L|20120701|4473034039|26110
L|3611010300|세종특별자치시  보람동|보람동||L|20120701|4473034040|26110
L|3611010400|세종특별자치시  대평동|대평동||L|20120701|4473034021|26110
L|3611010500|세종특별자치시  가람동|가람동||L|20120701|4473033034|26110
L|3611010600|세종특별자치시  한솔동|한솔동||L|20120701|4473033033|26110
L|3611010700|세종특별자치시  나성동|나성동||L|20120701|4473033032|26110
L|3611010800|세종특별자치시  새롬동|새롬동||L|20120701|4473033033|26110
L|3611010900|세종특별자치시  다정동|다정동||L|20120701|4415035025|26110
L|3611011000|세종특별자치시  어진동|어진동||L|20120701|4473033026|26110
L|3611011100|세종특별자치시  종촌동|종촌동||L|20120701|4473033025|26110
L|3611011200|세종특별자치시  고운동|고운동||L|20120701|4473033025|26110
L|3611011300|세종특별자치시  아름동|아름동||L|20120701|4473033025|26110
L|3611011400|세종특별자치시  도담동|도담동||L|20120701|4473033025|26110
L|3611011500|세종특별자치시 산울동|산울동||L|20200715|3611031028|26110
L|3611011600|세종특별자치시 해밀동|해밀동||L|20200715|3611031029|26110
L|3611011700|세종특별자치시 합강동|합강동||L|20200715|3611032028|26110
L|3611011800|세종특별자치시 집현동|집현동||L|20200715|3611034047|26110
L|3611011900|세종특별자치시  세종동|세종동||L|20220701|3611031025|26110
L|3611012000|세종특별자치시  누리동|누리동||L|20220701|3611031026|26110
L|3611012100|세종특별자치시  한별동|한별동||L|20220701|3611031027|26110
L|3611012200|세종특별자치시  다솜동|다솜동||L|20220701|3611032029|26110
L|3611012300|세종특별자치시  용호동|용호동||L|20220701|3611032030|26110
L|3611025000|세종특별자치시  조치원읍|조치원읍||L|20120701|4473025000|26110
L|3611025021|세종특별자치시  조치원읍 원리|원리||L|20120701|4473025021|26110
L|3611025022|세종특별자치시  조치원읍 상리|상리||L|20120701|4473025022|26110
L|3611025023|세종특별자치시  조치원읍 평리|평리||L|20120701|4473025023|26110
L|3611025024|세종특별자치시  조치원읍 교리|교리||L|20120701|4473025024|26110
L|3611025025|세종특별자치시  조치원읍 정리|정리||L|20120701|4473025025|26110
L|3611025026|세종특별자치시  조치원읍 명리|명리||L|20120701|4473025026|26110
L|3611025027|세종특별자치시  조치원읍 남리|남리||L|20120701|4473025027|26110
L|3611025028|세종특별자치시  조치원읍 침산리|침산리||L|20120701|4473025028|26110
L|3611025029|세종특별자치시  조치원읍 신흥리|신흥리||L|20120701|4473025029|26110
L|3611025030|세종특별자치시  조치원읍 죽림리|죽림리||L|20120701|4473025030|26110
L|3611025031|세종특별자치시  조치원읍 번암리|번암리||L|20120701|4473025031|26110
L|3611025032|세종특별자치시  조치원읍 신안리|신안리||L|20120701|4473025032|26110
L|3611025033|세종특별자치시  조치원읍 봉산리|봉산리||L|20120701|4473025033|26110
L|3611025034|세종특별자치시  조치원읍 서창리|서창리||L|20120701|4473025034|26110
L|3611031000|세종특별자치시  연기면|연기면||L|20120701|4473033000|26110
L|3611031021|세종특별자치시  연기면 연기리|연기리||L|20120701|4473033021|26110
L|3611031022|세종특별자치시  연기면 보통리|보통리||L|20120701|4473033022|26110
L|3611031023|세종특별자치시  연기면 눌왕리|눌왕리||L|20120701|4473033023|26110
L|3611031024|세종특별자치시  연기면 수산리|수산리||L|20120701|4473033024|26110
L|3611032000|세종특별자치시  연동면|연동면||L|20120701|4473031000|26110
L|3611032021|세종특별자치시  연동면 내판리|내판리||L|20120701|4473031021|26110
L|3611032022|세종특별자치시  연동면 문주리|문주리||L|20120701|4473031022|26110
L|3611032023|세종특별자치시  연동면 명학리|명학리||L|20120701|4473031025|26110
L|3611032024|세종특별자치시  연동면 응암리|응암리||L|20120701|4473031027|26110
L|3611032025|세종특별자치시  연동면 노송리|노송리||L|20120701|4473031028|26110
L|3611032026|세종특별자치시  연동면 예양리|예양리||L|20120701|4473031029|26110
L|3611032027|세종특별자치시  연동면 송용리|송용리||L|20120701|4473031030|26110
L|3611032028|세종특별자치시  연동면 합강리|합강리||L|20120701|4473031023|26110
L|3611033000|세종특별자치시  부강면|부강면||L|20120701|4371038000|26110
L|3611033021|세종특별자치시  부강면 부강리|부강리||L|20120701|4371038021|26110
L|3611033022|세종특별자치시  부강면 행산리|행산리||L|20120701|4371038027|26110
L|3611033023|세종특별자치시  부강면 산수리|산수리||L|20120701|4371038028|26110
L|3611033024|세종특별자치시  부강면 갈산리|갈산리||L|20120701|4371038029|26110
L|3611033025|세종특별자치시  부강면 문곡리|문곡리||L|20120701|4371038026|26110
L|3611033026|세종특별자치시  부강면 등곡리|등곡리||L|20120701|4371038023|26110
L|3611033027|세종특별자치시  부강면 노호리|노호리||L|20120701|4371038024|26110
