ADM_SECT_GBN|ADM_CD|ADM_SECT_NM|LOWEST_ADM_SECT_NM|DEL_YMD|CHG_BEF_ADM_SECT_GBN|CRE_YMD|CHG_BEF_ADM_SECT_CD|COL_ADM_SECT_CD
A|4400000000|충청남도|충청남도|||19880423||26110
A|4413000000|충청남도 천안시|천안시|||19880423||26110
A|4413100000|충청남도 천안시 동남구|천안시 동남구|||20080623||26110
A|4413125000|충청남도 천안시 동남구 목천읍|목천읍||A|20080623|4413025900|26110
A|4413131000|충청남도 천안시 동남구 풍세면|풍세면||A|20080623|4413031000|26110
A|4413132000|충청남도 천안시 동남구 광덕면|광덕면||A|20080623|4413032000|26110
A|4413133000|충청남도 천안시 동남구 북면|북면||A|20080623|4413034000|26110
A|4413134000|충청남도 천안시 동남구 성남면|성남면||A|20080623|4413035000|26110
A|4413135000|충청남도 천안시 동남구 수신면|수신면||A|20080623|4413036000|26110
A|4413136000|충청남도 천안시 동남구 병천면|병천면||A|20080623|4413037000|26110
A|4413137000|충청남도 천안시 동남구 동면|동면||A|20080623|4413038000|26110
A|4413151000|충청남도 천안시 동남구 중앙동|중앙동||A|20080623|4413051500|26110
A|4413152000|충청남도 천안시 동남구 문성동|문성동||A|20080623|4413052000|26110
A|4413153000|충청남도 천안시 동남구 원성1동|원성1동||A|20080623|4413054000|26110
A|4413154000|충청남도 천안시 동남구 원성2동|원성2동||A|20080623|4413055000|26110
A|4413155000|충청남도 천안시 동남구 봉명동|봉명동||A|20080623|4413057500|26110
A|4413156000|충청남도 천안시 동남구 일봉동|일봉동||A|20080623|4413062000|26110
A|4413157000|충청남도 천안시 동남구 신방동|신방동||A|20080623|4413063000|26110
A|4413158000|충청남도 천안시 동남구 청룡동|청룡동||A|20080623|4413059000|26110
A|4413159000|충청남도 천안시 동남구 신안동|신안동||A|20080623|4413060000|26110
A|4413300000|충청남도 천안시 서북구|천안시 서북구|||20080623||26110
A|4413325000|충청남도 천안시 서북구 성환읍|성환읍||A|20080623|4413025000|26110
A|4413325300|충청남도 천안시 서북구 성거읍|성거읍||A|20080623|4413025300|26110
A|4413325600|충청남도 천안시 서북구 직산읍|직산읍||A|20080623|4413025600|26110
A|4413331000|충청남도 천안시 서북구 입장면|입장면||A|20080623|4413040000|26110
A|4413351000|충청남도 천안시 서북구 성정1동|성정1동||A|20080623|4413056100|26110
A|4413352000|충청남도 천안시 서북구 성정2동|성정2동||A|20080623|4413056200|26110
A|4413353000|충청남도 천안시 서북구 쌍용1동|쌍용1동||A|20080623|4413057800|26110
A|4413354000|충청남도 천안시 서북구 쌍용2동|쌍용2동||A|20080623|4413057900|26110
A|4413355000|충청남도 천안시 서북구 쌍용3동|쌍용3동||A|20080623|4413058100|26110
A|4413356000|충청남도 천안시 서북구 백석동|백석동||A|20080623|4413058200|26110
A|4413356500|충청남도 천안시 서북구 불당동|불당동|||20131014||26110
A|4413357000|충청남도 천안시 서북구 부성동|부성동||A|20080623|4413061000|26110
